Name,Url,Authority,Started On,Finished On,License Number
The Fundamentals of Digital Marketing,https://learndigital.withgoogle.com/digitalskills/validate-certificate-code,Google Digital Skills For Africa,Apr 2019,,NFF 8ZJ B39
Google Analytics for Beginners,https://analytics.google.com/analytics/academy/certificate/T6P7TTPITBSbs-FsWk3pmw,Google Analytics Academy,Aug 2019,Aug 2022,
"Go Full-Stack With Node.js, Express, and MongoDB",https://openclassrooms.com/en/course-certificates/6674487093,OpenClassrooms,Sep 2019,,6674487093
Learn about Agile project management and SCRUM,https://openclassrooms.com/en/course-certificates/6477718821,OpenClassrooms,Sep 2019,,6477718821
Google Tag Manager Fundamentals,https://analytics.google.com/analytics/academy/certificate/khA--SYKT4ibCZLLGYRqgw,Google Analytics Academy ,Sep 2019,Sep 2022,
Build Your Web Projects With REST APIs,https://openclassrooms.com/en/course-certificates/3443685018,OpenClassrooms,Sep 2019,,3443685018
Test Your Website’s Interface,https://openclassrooms.com/en/course-certificates/2589324213,OpenClassrooms,Oct 2019,,2589324213
Learn How to Learn,https://openclassrooms.com/en/course-certificates/8674377973,OpenClassrooms,Oct 2019,,8674377973
Create simple prototypes with wireframes,https://openclassrooms.com/en/course-certificates/1161983964,OpenClassrooms,Oct 2019,,1161983964
Secure Your Web Application With OWASP,https://openclassrooms.com/en/course-certificates/2606182210,OpenClassrooms,Oct 2019,,2606182210
Build web apps with ReactJS,https://openclassrooms.com/en/course-certificates/6994859213,OpenClassrooms,Oct 2019,,6994859213
Retrieve data using SQL,https://openclassrooms.com/en/course-certificates/1606174731,OpenClassrooms,Oct 2019,,1606174731
Implement a Relational Database with SQL,https://openclassrooms.com/en/course-certificates/9769173531,OpenClassrooms,Oct 2019,,9769173531
YouTube Asset Monetization,https://skillshop.exceedlms.com/student/award/39141577,Google,Oct 2019,Apr 2021,39141577
YouTube Content Ownership,https://skillshop.exceedlms.com/student/award/39261296,Google,Oct 2019,Apr 2021,39261296
"Digital Skills: Social Media, Accenture",https://www.futurelearn.com/certificates/mgf30ek,FutureLearn,Oct 2019,,
Advanced Google Analytics,https://analytics.google.com/analytics/academy/certificate/l__XUcOQTo-FafQRyY_HrA,Google Analytics Academy,Nov 2019,Nov 2022,
Google Analytics for Power Users,https://analytics.google.com/analytics/academy/certificate/XaphJk5dQ42GGFemrNyL-Q,Google Analytics Academy,Nov 2019,Nov 2022,
Getting Started With Google Analytics 360,https://analytics.google.com/analytics/academy/certificate/_iE2nFIxQvizY43-EUONpA,Google Analytics Academy,Nov 2019,Nov 2022,
Introduction to Data Studio,https://analytics.google.com/analytics/academy/certificate/ujHY5ZPFRJilKKV1J9gIlw,Google Analytics Academy,Nov 2019,Nov 2022,
Fundamentals of Digital Marketing,https://learndigital.withgoogle.com/digitalgarage/validate-certificate-code,Google Digital Garage,Nov 2019,,AGP TFJ H69
Google Ads Search Certification,https://skillshop.exceedlms.com/student/award/37995485,Google,Nov 2019,Nov 2020,37995485
Google Ads - Measurement Certification,https://skillshop.exceedlms.com/student/award/40470037,Google,Nov 2019,Nov 2020,40470037
Google Ads Display Certification,https://skillshop.exceedlms.com/student/award/40470037,Google,Nov 2019,Nov 2020,37995424
Google Ads Video Certification,https://skillshop.exceedlms.com/student/award/43198091,Google,Dec 2019,Dec 2020,43198091
Shopping ads Certification,https://skillshop.exceedlms.com/student/award/43275413,Google,Dec 2019,Dec 2020,43275413
Search Ads 360 Certification Exam,https://skillshop.exceedlms.com/student/award/43279237,Google,Dec 2019,Dec 2020,43279237
Display & Video 360 Certification Exam,https://skillshop.exceedlms.com/student/award/43279257,Google,Dec 2019,Dec 2020,43279257
Campaign Manager Certification Exam,https://skillshop.exceedlms.com/student/award/43279291,Google,Dec 2019,Dec 2020,43279291
Social Media Strategy,https://hubspot-academy.s3.amazonaws.com/prod/tracks/user-certificates/42cb0ed277d941648f83a51aafbc7c47-1576689859863.png,HubSpot Academy,Dec 2019,Jan 2022,42cb0ed277d941648f83a51aafbc7c47
Email Marketing,https://hubspot-academy.s3.amazonaws.com/prod/tracks/user-certificates/292d4ddded8d4d26bd7954e2bfe07222-1583319195499.png,HubSpot,Mar 2020,Apr 2022,292d4ddded8d4d26bd7954e2bfe07222
G Suite Essentials,https://www.qwiklabs.com/public_profiles/11a68c2c-56df-4864-bfca-1b1e83367cff/badges/222080,Qwiklabs,Apr 2020,,
Accounting Fundamentals,https://www.credential.net/d20dfe88-ab0b-4219-9fb0-322bea195309,Corporate Finance Institute® (CFI),May 2020,,17368248
Angular (Basic),https://hackerrank.com/certificates/01fb5ab9c5c7,HackerRank,Dec 2020,,
REST API (Intermediate),https://hackerrank.com/certificates/3902a562905e,HackerRank,Dec 2020,,
JavaScript (Basic),https://hackerrank.com/certificates/f61ad387ad99,HackerRank,Dec 2020,,
Google Africa Developer Training Program,https://adscerts.com/scholar/36BD6A92F6DE7C8C,Google Developers,Feb 2021,,36BD6A92F6DE7C8C
Beta Microsoft Learn Student Ambassador ,https://studentambassadors.microsoft.com/certificate/b82268e5-bf0d-49bf-84b1-b4f6e144918b,Microsoft,Apr 2021,,
Angular + NestJS Course Completion ,https://www.sololearn.com/Certificate/1092-20296097/pdf,Sololearn,Jul 2021,,1092-20296097
JavaScript Course Completion,https://www.sololearn.com/certificates/course/en/20296097/1024/landscape/pdf,Sololearn,Jul 2021,,20296097-1024
CSS Course Completion,https://www.sololearn.com/Certificate/1023-20296097/pdf,Sololearn,Jul 2021,,1023-20296097
Java Course Completion,https://www.sololearn.com/certificates/course/en/20296097/1068/landscape/pdf,Sololearn,Mar 2021,,20296097-1068
GDSC Lead 2020 - 2021,https://dsc-certify.web.app/c/A81FC7D1E7BC,Google Developers,Aug 2021,,A81FC7D1E7BC
Technical Support Fundamentals,https://www.coursera.org/account/accomplishments/certificate/964YD87L9K9E,Coursera,Sep 2021,,964YD87L9K9E
The Bits and Bytes of Computer Networking,https://www.coursera.org/account/accomplishments/certificate/BN4YWJ8GXB23,Coursera,Jan 2022,,BN4YWJ8GXB23
Foundations of User Experience (UX) Design,https://www.coursera.org/account/accomplishments/certificate/7WCU3NGCYLHV,Coursera,Jan 2022,,7WCU3NGCYLHV
Operating Systems and You: Becoming a Power User,https://www.coursera.org/account/accomplishments/certificate/EJDS8HX2DFL5,Coursera,Jan 2022,,EJDS8HX2DFL5
Crash Course on Python,https://www.coursera.org/account/accomplishments/certificate/8PFEPHD46Y9A,Coursera,Jan 2022,,8PFEPHD46Y9A
HTML,https://www.sololearn.com/Certificate/1014-20296097/jpg,Sololearn,Jan 2022,,1014-20296097
Introduction to Git and GitHub,https://www.coursera.org/account/accomplishments/certificate/9ZXAXPBH6M5T,Coursera,Jan 2022,,9ZXAXPBH6M5T
Public Speaking Foundations,https://www.linkedin.com/learning/certificates/978994ab8ccb694de0e51fdedba330baf1a77d80225fc5fbd29fc9421d95dc22,LinkedIn,Jan 2022,,AYhIMB8oOY0cu3y5DffEOCZ9HgD2
Using Python to Interact with the Operating System,https://www.coursera.org/account/accomplishments/certificate/PRCXP3VJHF92,Coursera,Jan 2022,,PRCXP3VJHF92
Troubleshooting and Debugging Techniques,https://www.coursera.org/account/accomplishments/certificate/ESKE7YA9RCLK,Coursera,Jan 2022,,ESKE7YA9RCLK
CSS,https://www.hackerrank.com/certificates/2859e9d84e8a,HackerRank,Mar 2022,,2859e9d84e8a
JavaScript (Intermediate),https://www.hackerrank.com/certificates/aac9037030b6,HackerRank,Mar 2022,,aac9037030b6
Angular (Intermediate),https://www.hackerrank.com/certificates/bd5399b507aa,HackerRank,Mar 2022,,bd5399b507aa
Configuration Management and the Cloud,https://www.coursera.org/account/accomplishments/certificate/ALRRLT2XCJ6R,Coursera,Mar 2022,,ALRRLT2XCJ6R
Automating Real-World Tasks with Python,https://www.coursera.org/account/accomplishments/certificate/BY4CAE9P3RWM,Coursera,Mar 2022,,BY4CAE9P3RWM
